# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.000000e+01
# lRef        : 1.700000e-01
# Aref        : 4.200000e-02
# CofR        : (3.000000e-03 1.020000e-01 6.900000e-01)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
8e-07         	1.152142e+01	4.490707e+00	-1.556665e-01	3.123214e-01	-3.820514e-01	7.287097e+00	6.073033e+00	5.448390e+00	9.532450e+00	-5.041743e+00	-4.598846e-01	3.042181e-01
1.6e-06       	1.611839e+01	4.081730e+00	-2.390340e-01	2.331389e-01	-5.428953e-01	1.041886e+01	8.292336e+00	7.826058e+00	1.245972e+01	-8.377995e+00	-6.624123e-01	4.233783e-01
2.4e-06       	1.817697e+01	3.909836e+00	-3.257122e-01	2.422883e-01	-6.123352e-01	1.181795e+01	9.330773e+00	8.846197e+00	1.377287e+01	-9.863032e+00	-7.751913e-01	4.494791e-01
3.2e-06       	1.862612e+01	3.859471e+00	-3.386499e-01	2.410388e-01	-6.304619e-01	1.210382e+01	9.554099e+00	9.072022e+00	1.403356e+01	-1.017409e+01	-7.997868e-01	4.611369e-01
4e-06         	1.834553e+01	3.869420e+00	-3.142906e-01	2.315934e-01	-6.288174e-01	1.188917e+01	9.404360e+00	8.941173e+00	1.382388e+01	-9.954464e+00	-7.859627e-01	4.716721e-01
4.8e-06       	1.796505e+01	3.905439e+00	-2.980156e-01	2.341244e-01	-6.229596e-01	1.161018e+01	9.216651e+00	8.748402e+00	1.356290e+01	-9.657460e+00	-7.719674e-01	4.739518e-01
5.6e-06       	1.766721e+01	3.946293e+00	-3.035187e-01	2.522924e-01	-6.171590e-01	1.139541e+01	9.085895e+00	8.581310e+00	1.336856e+01	-9.422267e+00	-7.689183e-01	4.653996e-01
6.4e-06       	1.746275e+01	3.979648e+00	-3.230565e-01	2.772194e-01	-6.105118e-01	1.125122e+01	9.008593e+00	8.454155e+00	1.324105e+01	-9.261399e+00	-7.720400e-01	4.489836e-01
7.2e-06       	1.730369e+01	4.002816e+00	-3.464694e-01	3.011154e-01	-6.026076e-01	1.114257e+01	8.952959e+00	8.350728e+00	1.314398e+01	-9.141163e+00	-7.758423e-01	4.293729e-01
8e-06         	1.715168e+01	4.018131e+00	-3.660546e-01	3.193527e-01	-5.933933e-01	1.104162e+01	8.895193e+00	8.256488e+00	1.305068e+01	-9.032553e+00	-7.764206e-01	4.103660e-01
8.8e-06       	1.699173e+01	4.029334e+00	-3.792701e-01	3.313372e-01	-5.833692e-01	1.093652e+01	8.827202e+00	8.164528e+00	1.295118e+01	-8.921848e+00	-7.730042e-01	3.937341e-01
9.6e-06       	1.682710e+01	4.039138e+00	-3.876741e-01	3.391704e-01	-5.733405e-01	1.082814e+01	8.752722e+00	8.074381e+00	1.284771e+01	-8.808571e+00	-7.671776e-01	3.795035e-01
1.04e-05      	1.667239e+01	4.048470e+00	-3.945337e-01	3.456888e-01	-5.641000e-01	1.072538e+01	8.681885e+00	7.990507e+00	1.274962e+01	-8.701146e+00	-7.613669e-01	3.668332e-01
1.12e-05      	1.654314e+01	4.057103e+00	-4.027149e-01	3.530727e-01	-5.562334e-01	1.063792e+01	8.624641e+00	7.918496e+00	1.266647e+01	-8.609369e+00	-7.575909e-01	3.548759e-01
1.2e-05       	1.644732e+01	4.064552e+00	-4.139228e-01	3.625311e-01	-5.499340e-01	1.057078e+01	8.586189e+00	7.861127e+00	1.260305e+01	-8.538503e+00	-7.568954e-01	3.429726e-01
1.28e-05      	1.638300e+01	4.070603e+00	-4.284318e-01	3.742379e-01	-5.450688e-01	1.052296e+01	8.565738e+00	7.817262e+00	1.255827e+01	-8.487663e+00	-7.592847e-01	3.308529e-01
1.36e-05      	1.634437e+01	4.075462e+00	-4.456948e-01	3.878174e-01	-5.412000e-01	1.049111e+01	8.560003e+00	7.784368e+00	1.252884e+01	-8.453381e+00	-7.640474e-01	3.183526e-01
1.44e-05      	1.632436e+01	4.079843e+00	-4.646308e-01	4.025904e-01	-5.380203e-01	1.047040e+01	8.564770e+00	7.759589e+00	1.251032e+01	-8.430478e+00	-7.703357e-01	3.057049e-01
1.52e-05      	1.631451e+01	4.084434e+00	-4.839802e-01	4.177590e-01	-5.352059e-01	1.045496e+01	8.575016e+00	7.739498e+00	1.249718e+01	-8.412745e+00	-7.771961e-01	2.932158e-01
1.6e-05       	1.630657e+01	4.089797e+00	-5.027106e-01	4.326446e-01	-5.325264e-01	1.043911e+01	8.585929e+00	7.720640e+00	1.248400e+01	-8.394207e+00	-7.838817e-01	2.811711e-01
1.68e-05      	1.629373e+01	4.096211e+00	-5.202017e-01	4.468081e-01	-5.297535e-01	1.041843e+01	8.593671e+00	7.700055e+00	1.246653e+01	-8.370324e+00	-7.898543e-01	2.696526e-01
1.76e-05      	1.627181e+01	4.103770e+00	-5.363112e-01	4.601216e-01	-5.267441e-01	1.039047e+01	8.596028e+00	7.675785e+00	1.244235e+01	-8.338581e+00	-7.948997e-01	2.585885e-01
1.84e-05      	1.623925e+01	4.112443e+00	-5.512189e-01	4.726934e-01	-5.234328e-01	1.035457e+01	8.592320e+00	7.646934e+00	1.241079e+01	-8.298348e+00	-7.990423e-01	2.478234e-01
1.92e-05      	1.619700e+01	4.122220e+00	-5.653790e-01	4.848320e-01	-5.198292e-01	1.031188e+01	8.583331e+00	7.613667e+00	1.237299e+01	-8.250774e+00	-8.025187e-01	2.371397e-01
2e-05         	1.614757e+01	4.133166e+00	-5.794161e-01	4.969837e-01	-5.160050e-01	1.026457e+01	8.570769e+00	7.576802e+00	1.233116e+01	-8.197991e+00	-8.057130e-01	2.262969e-01
2.08e-05      	1.609439e+01	4.145398e+00	-5.939844e-01	5.096184e-01	-5.120743e-01	1.021534e+01	8.556811e+00	7.537574e+00	1.228804e+01	-8.142641e+00	-8.090665e-01	2.150822e-01
2.16e-05      	1.604102e+01	4.159039e+00	-6.096601e-01	5.231728e-01	-5.081445e-01	1.016688e+01	8.543681e+00	7.497336e+00	1.224639e+01	-8.087356e+00	-8.129746e-01	2.033144e-01
2.24e-05      	1.599059e+01	4.174204e+00	-6.267667e-01	5.378903e-01	-5.043259e-01	1.012150e+01	8.533185e+00	7.457405e+00	1.220860e+01	-8.034393e+00	-8.177093e-01	1.909426e-01
2.32e-05      	1.594554e+01	4.190925e+00	-6.455068e-01	5.539188e-01	-5.007018e-01	1.008088e+01	8.526690e+00	7.418853e+00	1.217634e+01	-7.985418e+00	-8.234552e-01	1.779483e-01
2.4e-05       	1.590739e+01	4.209211e+00	-6.659068e-01	5.712713e-01	-4.973234e-01	1.004599e+01	8.524968e+00	7.382425e+00	1.215060e+01	-7.941388e+00	-8.302767e-01	1.643700e-01
