# Wall shear stress
# Time        	patch         	min           	max           
8e-05         	back	(-2.162556e+01 -5.427722e+00 -1.400870e+01)	(4.908055e+00 5.101100e+00 3.103169e+01)
8e-05         	carMirror	(-1.015607e+02 -3.224783e+01 -4.916574e+01)	(1.414361e+01 8.304038e+01 6.093603e+01)
0.00016       	back	(-3.647740e+01 -6.478045e+00 -2.310202e+01)	(1.499366e+01 1.909304e+01 5.655498e+01)
0.00016       	carMirror	(-1.676627e+02 -4.807502e+01 -7.422306e+01)	(3.093200e+01 1.181323e+02 1.079170e+02)
0.00024       	back	(-4.343313e+01 -1.377534e+01 -3.130175e+01)	(2.032015e+01 1.314678e+01 4.328508e+01)
0.00024       	carMirror	(-2.417401e+02 -6.784369e+01 -9.035757e+01)	(3.467401e+01 1.508717e+02 1.649788e+02)
0.00032       	back	(-2.459889e+01 -1.029675e+01 -3.277653e+01)	(2.239614e+01 1.228316e+01 3.535025e+01)
0.00032       	carMirror	(-2.028302e+02 -7.742063e+01 -9.693091e+01)	(3.428945e+01 1.645175e+02 8.103064e+01)
0.0004        	back	(-2.193543e+01 -7.839969e+00 -3.116259e+01)	(2.272957e+01 1.226717e+01 3.746915e+01)
0.0004        	carMirror	(-1.682097e+02 -6.672204e+01 -9.680500e+01)	(4.226290e+01 1.707701e+02 1.041084e+02)
0.00048       	back	(-2.440183e+01 -6.454356e+00 -3.070983e+01)	(2.372649e+01 1.281068e+01 4.507716e+01)
0.00048       	carMirror	(-1.388945e+02 -5.184495e+01 -1.009642e+02)	(2.943741e+01 1.758346e+02 9.638867e+01)
0.00056       	back	(-2.682853e+01 -4.929806e+00 -2.877357e+01)	(2.068116e+01 1.102930e+01 4.868198e+01)
0.00056       	carMirror	(-1.316821e+02 -4.505258e+01 -9.967504e+01)	(3.940862e+01 1.769099e+02 5.714438e+01)
0.00064       	back	(-3.490783e+01 -5.605150e+00 -2.677211e+01)	(1.384269e+01 9.783235e+00 6.246583e+01)
0.00064       	carMirror	(-1.255810e+02 -4.029237e+01 -1.025778e+02)	(2.950168e+01 1.709983e+02 6.049175e+01)
0.00072       	back	(-3.665291e+01 -5.998091e+00 -2.805276e+01)	(2.428274e+01 1.039414e+01 7.013196e+01)
0.00072       	carMirror	(-1.252639e+02 -3.792299e+01 -9.772675e+01)	(2.423126e+01 1.667382e+02 5.808380e+01)
0.0008        	back	(-4.056354e+01 -7.944279e+00 -3.854493e+01)	(3.055446e+01 1.113932e+01 7.096290e+01)
0.0008        	carMirror	(-1.414384e+02 -3.923403e+01 -1.097717e+02)	(3.258228e+01 1.906291e+02 5.834280e+01)
0.00088       	back	(-4.165193e+01 -7.708609e+00 -3.672682e+01)	(2.905365e+01 1.113290e+01 7.123305e+01)
0.00088       	carMirror	(-1.393129e+02 -4.864918e+01 -1.107491e+02)	(3.672056e+01 1.911631e+02 6.067675e+01)
0.00096       	back	(-3.858848e+01 -7.343984e+00 -3.202285e+01)	(2.331636e+01 1.169612e+01 6.899741e+01)
0.00096       	carMirror	(-1.345213e+02 -4.911886e+01 -1.067456e+02)	(2.993685e+01 1.866426e+02 5.264716e+01)
0.00104       	back	(-3.529934e+01 -5.233050e+00 -2.244908e+01)	(1.777899e+01 1.020296e+01 6.164246e+01)
0.00104       	carMirror	(-1.260930e+02 -4.218353e+01 -1.019090e+02)	(2.413415e+01 1.729443e+02 5.108319e+01)
0.00112       	back	(-3.558798e+01 -4.732916e+00 -1.437799e+01)	(1.603359e+01 1.002780e+01 6.192301e+01)
0.00112       	carMirror	(-1.221062e+02 -3.968486e+01 -1.009287e+02)	(1.835249e+01 1.698912e+02 5.085624e+01)
0.0012        	back	(-3.674456e+01 -5.354678e+00 -1.152016e+01)	(1.498108e+01 1.123968e+01 6.632494e+01)
0.0012        	carMirror	(-1.217055e+02 -3.563360e+01 -9.322403e+01)	(1.969074e+01 1.618483e+02 5.508291e+01)
0.00128       	back	(-3.635640e+01 -5.178339e+00 -1.350607e+01)	(1.945866e+01 1.111705e+01 6.534334e+01)
0.00128       	carMirror	(-1.221199e+02 -3.605415e+01 -9.014217e+01)	(1.773016e+01 1.602712e+02 5.457929e+01)
0.00136       	back	(-3.689160e+01 -5.599190e+00 -2.125776e+01)	(2.155239e+01 1.090774e+01 6.447524e+01)
0.00136       	carMirror	(-1.196550e+02 -3.000292e+01 -9.020285e+01)	(1.824486e+01 1.554453e+02 5.199061e+01)
0.00144       	back	(-3.674584e+01 -5.786298e+00 -2.345177e+01)	(2.233997e+01 1.046441e+01 6.109095e+01)
0.00144       	carMirror	(-1.174413e+02 -3.133874e+01 -8.801259e+01)	(2.173483e+01 1.535488e+02 5.059192e+01)
0.00152       	back	(-3.631371e+01 -5.448943e+00 -2.003990e+01)	(2.100721e+01 1.063519e+01 6.203954e+01)
0.00152       	carMirror	(-1.292673e+02 -3.563919e+01 -8.198822e+01)	(2.636987e+01 1.272040e+02 5.160245e+01)
0.0016        	back	(-3.725579e+01 -5.291592e+00 -1.555929e+01)	(1.913536e+01 1.113614e+01 6.568525e+01)
0.0016        	carMirror	(-1.257648e+02 -3.755206e+01 -7.865905e+01)	(2.178010e+01 1.193270e+02 5.057467e+01)
0.00168       	back	(-3.845491e+01 -5.367993e+00 -1.866741e+01)	(1.691269e+01 1.126296e+01 6.755487e+01)
0.00168       	carMirror	(-1.249730e+02 -3.823046e+01 -7.788651e+01)	(2.048791e+01 1.188752e+02 5.161544e+01)
0.00176       	back	(-4.001835e+01 -5.500733e+00 -2.082157e+01)	(1.771103e+01 1.165543e+01 7.016397e+01)
0.00176       	carMirror	(-1.219089e+02 -3.823496e+01 -7.429182e+01)	(1.991578e+01 1.149464e+02 5.559657e+01)
0.00184       	back	(-4.058346e+01 -5.680680e+00 -2.319753e+01)	(2.170928e+01 1.193049e+01 7.186095e+01)
0.00184       	carMirror	(-1.105322e+02 -3.963902e+01 -6.662673e+01)	(2.221406e+01 8.805342e+01 5.547512e+01)
0.00192       	back	(-4.066963e+01 -5.997777e+00 -2.650357e+01)	(2.296712e+01 1.201602e+01 7.198455e+01)
0.00192       	carMirror	(-1.120543e+02 -4.083668e+01 -7.004793e+01)	(2.401468e+01 8.930774e+01 5.513787e+01)
0.002         	back	(-4.103979e+01 -6.127921e+00 -2.848331e+01)	(2.334925e+01 1.224606e+01 7.274533e+01)
0.002         	carMirror	(-1.085505e+02 -4.231478e+01 -6.948062e+01)	(2.797029e+01 8.547682e+01 5.546120e+01)
0.00208       	back	(-4.171186e+01 -6.130574e+00 -2.749564e+01)	(2.312394e+01 1.243711e+01 7.367113e+01)
0.00208       	carMirror	(-1.025044e+02 -4.223460e+01 -7.014731e+01)	(2.588009e+01 7.930430e+01 5.657370e+01)
0.00216       	back	(-4.153938e+01 -6.512869e+00 -2.640839e+01)	(2.463826e+01 1.301983e+01 7.551637e+01)
0.00216       	carMirror	(-1.060695e+02 -4.189349e+01 -7.116485e+01)	(2.307075e+01 8.069714e+01 5.524349e+01)
0.00224       	back	(-4.089275e+01 -6.191213e+00 -2.629947e+01)	(2.369956e+01 1.278672e+01 7.505042e+01)
0.00224       	carMirror	(-1.113269e+02 -4.151846e+01 -7.363726e+01)	(2.711998e+01 8.296733e+01 5.491884e+01)
0.00232       	back	(-3.922659e+01 -5.656796e+00 -2.470183e+01)	(2.161973e+01 1.165991e+01 6.691997e+01)
0.00232       	carMirror	(-1.142710e+02 -4.142213e+01 -6.792510e+01)	(3.162356e+01 8.181411e+01 5.485392e+01)
0.0024        	back	(-3.744349e+01 -6.284253e+00 -2.311024e+01)	(2.403599e+01 1.173461e+01 6.666060e+01)
