# y+ ()       
# Time        	patch         	min           	max           	average       
8e-05         	back	2.848769e+00	8.477994e+01	2.398762e+01
8e-05         	carMirror	1.210064e-01	9.650405e+01	6.168052e+00
0.00016       	back	2.241205e+00	1.089819e+02	2.580769e+01
0.00016       	carMirror	1.517843e-01	1.337725e+02	9.527944e+00
0.00024       	back	4.034189e+00	1.176507e+02	2.767246e+01
0.00024       	carMirror	7.930699e-02	1.454122e+02	1.250560e+01
0.00032       	back	2.301754e+00	1.412333e+02	2.950839e+01
0.00032       	carMirror	4.684262e-02	1.537260e+02	1.499937e+01
0.0004        	back	3.862598e+00	1.838342e+02	3.156024e+01
0.0004        	carMirror	1.075065e-01	1.736771e+02	1.684480e+01
0.00048       	back	3.907061e+00	2.246629e+02	3.385328e+01
0.00048       	carMirror	9.604160e-02	2.038384e+02	1.860303e+01
0.00056       	back	1.311976e+00	2.872760e+02	3.617211e+01
0.00056       	carMirror	5.152515e-02	2.104530e+02	2.004816e+01
0.00064       	back	4.084075e+00	2.841372e+02	3.834039e+01
0.00064       	carMirror	1.053803e-01	2.077032e+02	2.165022e+01
0.00072       	back	1.907828e+00	2.670667e+02	4.113549e+01
0.00072       	carMirror	9.612998e-02	2.014258e+02	2.292879e+01
0.0008        	back	4.196035e+00	2.831642e+02	4.445592e+01
0.0008        	carMirror	2.873056e-02	2.008887e+02	2.383049e+01
0.00088       	back	4.219807e+00	3.050586e+02	4.513716e+01
0.00088       	carMirror	3.785849e-02	2.040674e+02	2.392537e+01
0.00096       	back	4.214725e+00	4.014805e+02	4.586341e+01
0.00096       	carMirror	2.037537e-02	2.011432e+02	2.364675e+01
0.00104       	back	4.542020e+00	4.553727e+02	4.649073e+01
0.00104       	carMirror	2.352577e-02	1.982563e+02	2.333205e+01
0.00112       	back	3.234355e+00	4.694269e+02	4.716130e+01
0.00112       	carMirror	4.408477e-02	1.967378e+02	2.319165e+01
0.0012        	back	3.433148e+00	4.794596e+02	4.840076e+01
0.0012        	carMirror	6.037377e-02	2.000002e+02	2.336152e+01
0.00128       	back	3.673624e+00	4.898691e+02	4.995819e+01
0.00128       	carMirror	5.525570e-02	2.085380e+02	2.354862e+01
0.00136       	back	4.559463e+00	4.946402e+02	5.121121e+01
0.00136       	carMirror	8.872698e-02	2.207690e+02	2.356435e+01
0.00144       	back	2.954842e+00	4.983255e+02	5.197952e+01
0.00144       	carMirror	6.504196e-02	2.221306e+02	2.336201e+01
0.00152       	back	3.601574e+00	5.102877e+02	5.285773e+01
0.00152       	carMirror	3.452738e-02	2.223369e+02	2.315479e+01
0.0016        	back	2.952999e+00	5.127775e+02	5.378864e+01
0.0016        	carMirror	3.472428e-02	2.214357e+02	2.310462e+01
0.00168       	back	3.112965e+00	5.141822e+02	5.489466e+01
0.00168       	carMirror	3.197165e-02	2.122627e+02	2.325335e+01
0.00176       	back	1.522938e+00	5.210923e+02	5.629102e+01
0.00176       	carMirror	2.024221e-02	2.035039e+02	2.351982e+01
0.00184       	back	1.839114e+00	5.368220e+02	5.771099e+01
0.00184       	carMirror	1.615358e-02	2.055514e+02	2.376910e+01
0.00192       	back	2.272734e+00	5.517069e+02	5.903402e+01
0.00192       	carMirror	1.348292e-02	2.106893e+02	2.400283e+01
0.002         	back	2.409601e+00	5.608220e+02	6.029151e+01
0.002         	carMirror	4.074821e-02	2.147649e+02	2.422400e+01
0.00208       	back	2.783024e+00	5.675024e+02	6.156421e+01
0.00208       	carMirror	4.503445e-02	2.293173e+02	2.444541e+01
0.00216       	back	2.326922e+00	5.771784e+02	6.282665e+01
0.00216       	carMirror	4.867039e-02	2.416856e+02	2.468735e+01
0.00224       	back	2.524015e+00	5.859177e+02	6.415430e+01
0.00224       	carMirror	4.030020e-02	2.547396e+02	2.494784e+01
0.00232       	back	2.932483e+00	5.917868e+02	6.555811e+01
0.00232       	carMirror	3.239990e-02	2.639679e+02	2.519423e+01
0.0024        	back	3.681742e+00	6.063204e+02	6.703064e+01
0.0024        	carMirror	3.777039e-02	2.673309e+02	2.537927e+01
0.00248       	back	4.602170e+00	6.213825e+02	6.851057e+01
0.00248       	carMirror	3.108746e-02	2.605900e+02	2.549109e+01
0.00256       	back	5.083395e+00	6.329869e+02	6.996861e+01
0.00256       	carMirror	3.519369e-02	2.556662e+02	2.557271e+01
0.00264       	back	5.231898e+00	6.409278e+02	7.146875e+01
