# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.700000e+01
# lRef        : 1.700000e-01
# Aref        : 4.200000e-02
# CofR        : (3.000000e-03 1.020000e-01 6.900000e-01)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
8e-07         	1.865235e+01	1.241661e+00	-6.665375e-01	3.308826e-01	-6.956884e-01	8.990877e+00	9.657058e+00	8.995292e+00	9.611708e+00	-8.370047e+00	-1.028957e+00	3.624197e-01
1.6e-06       	5.248570e+00	-4.220184e-01	-8.604763e-01	4.436966e-01	-2.061650e-01	2.381567e+00	3.067982e+00	2.180589e+00	2.170558e+00	-2.592576e+00	-6.364031e-01	-2.240732e-01
2.4e-06       	1.430185e+00	-5.750234e-01	-8.533016e-01	3.914619e-01	-2.105445e-02	6.832365e-01	1.106555e+00	3.236307e-01	3.957248e-01	-9.707482e-01	-4.477053e-01	-4.055964e-01
3.2e-06       	-6.510712e-01	-7.498256e-01	-6.735681e-01	2.914872e-01	-3.747328e-05	-3.906642e-01	-3.404836e-02	-6.170228e-01	-7.655769e-01	1.575137e-02	-3.368215e-01	-3.367466e-01
4e-06         	-8.862123e-02	-5.582158e-01	-4.587551e-01	1.809223e-01	-1.846142e-02	-8.962959e-02	1.366117e-01	-2.252329e-01	-3.687375e-01	-1.894783e-01	-2.478390e-01	-2.109162e-01
4.8e-06       	2.718731e-01	-4.969591e-01	-3.359813e-01	1.335676e-01	-3.417389e-02	9.936155e-02	2.695041e-01	2.368965e-03	-1.491180e-01	-3.478411e-01	-2.021645e-01	-1.338168e-01
5.6e-06       	5.158840e-01	-4.324774e-01	-2.654228e-01	1.072369e-01	-4.797505e-02	2.451735e-01	3.651789e-01	1.507051e-01	2.893478e-02	-4.614122e-01	-1.806865e-01	-8.473636e-02
6.4e-06       	6.190358e-01	-4.094210e-01	-2.680763e-01	1.181026e-01	-5.948363e-02	3.090926e-01	4.276205e-01	1.914153e-01	1.043821e-01	-5.138030e-01	-1.935218e-01	-7.455450e-02
7.2e-06       	6.965406e-01	-3.866519e-01	-2.974479e-01	1.382641e-01	-7.032500e-02	3.526901e-01	4.865344e-01	2.100061e-01	1.593641e-01	-5.460160e-01	-2.190489e-01	-7.839894e-02
8e-06         	7.428384e-01	-3.734841e-01	-3.260035e-01	1.548867e-01	-8.002693e-02	3.722344e-01	5.263059e-01	2.165325e-01	1.854924e-01	-5.589764e-01	-2.430287e-01	-8.297480e-02
