# Wall shear stress
# Time        	patch         	min           	max           
0.008         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.016         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.024         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.032         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.04          	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.048         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.056         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.064         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.072         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.08          	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.088         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.096         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.104         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.112         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.12          	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.128         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
0.136         	back	(-2.512805e-01 1.650174e-05 -7.491572e-06)	(-2.339035e-01 6.544800e-05 7.491572e-06)
