# y+ ()       
# Time        	patch         	min           	max           	average       
0.008         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.016         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.024         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.032         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.04          	back	6.708249e+02	7.277073e+02	6.968872e+02
0.048         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.056         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.064         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.072         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.08          	back	6.708249e+02	7.277073e+02	6.968872e+02
0.088         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.096         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.104         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.112         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.12          	back	6.708249e+02	7.277073e+02	6.968872e+02
0.128         	back	6.708249e+02	7.277073e+02	6.968872e+02
0.136         	back	6.708249e+02	7.277073e+02	6.968872e+02
